⿰\{18\}殳	{E956}
⿰\{58\}刀	{E8D9}
⿰\{68\}占	{EB52}
⿰⿱⿳士冖一(.)殳	⿹{E872}$1
⿰⿱山王攵	{EB5A}
⿰⿱一⿵冂丶⿱一⿵冂丶	{EA98}
⿰白百	{EB70}
⿰釆⿳⺊𠔿⿵冂厶	{EAF5}
⿰冫七	{EB24}
⿰仌丨⿸厂	{EAF3}
⿰臣⿱𠂉古	{EAF2}
⿰臣⿱𠂉一	{E8C9}
⿰臣⿱𠂉丶	{E8C9}
⿰臣月	{EAEE}
⿰臣忠	{EB05}
⿰臣㕚	{EB7F}
⿰彳婁	{EAD4}
⿰彳世	{EAB7}
⿰彳枼	{EAB8}
⿰彳旨	{EB30}
⿰虫⿱夂産	{EB02}
⿰歹昜	{EA9F}
⿰歹又	{EB9A}
⿰方⿱𠂉	⿸{E823}
⿰分分	{EB32}
⿰缶且	{EB6E}
⿰阝𤔌	{EAE5}
⿰干干	{EB1B}
⿰工⿻九丶	{EB2F}
⿰工几	{EAB9}
⿰工口	{E8D2}
⿰古缶	{EB5E}
⿰瓜豕	{EAF1}
⿰户又	{EB68}
⿰雷雷	{EB12}
⿰里犬	{EA99}
⿰立今	{EB0F}
⿰矛⿱夂目	{EB10}
⿰每殳	{EB69}
⿰米糸	{E98F}
⿰末成	{EAC4}
⿰爿⿳⿱艹罒冖帚	{EB2E}
⿰爿丙	{EAA6}
⿰爿夢	{EB2D}
⿰爿米	{EB2C}
⿰爿臬	{EAA7}
⿰爿喬	{EAD5}
⿰丿丨	{E0E3}
⿰丿𠃌	{E427}
⿰丿𭘍	{EB51}
⿰七七	{EA8E}
⿰秦秦	{EB64}
⿰求求	{EB82}
⿰泉泉	{EA96}
⿰日畐	{EB73}
⿰若若	{EB75}
⿰甚育	{EAA0}
⿰石豕	{EB57}
⿰石又	{E98B}
⿰飠九	{EB28}
⿰士士	{EA89}
⿰扌⿱𠂉子	{EB07}
⿰土尨	{EB4C}
⿰王王	玨
⿰未攵	{E84B}
⿰夕力	{EB65}
⿰小小	{EA8A}
⿰雲雲	{EB8D}
⿰占又	{EAAA}
⿰正見	{EAB6}
⿰止豕	{EB21}
⿰丶丿	{E089}
⿰隹欠	{EAB1}
⿰𠂔次	{EB9C}
⿰𠂔欠	{EB9B}
⿰𠂤辛	{E9ED}
⿰𣏂殳	{EAE4}
⿰𣧄刂	{EAED}
⿰𦣝巳	{EAEC}
⿰𬻞斤	{EB19}
⿱{E8D9}金	{E8CA}
⿱{E8D9}亞	{EABC}
⿱\{116\}比	{EB96}
⿱\{2\}儿	{EADF}
⿱\{3\}比	{EAD2}
⿱\{42\}𧰨	{EABE}
⿱\{42\}𪪷	⿳{42}粉廾
⿱\{7\}𧘇	{EB85}
⿱\{88\}龴	令
⿱\{E8C9\}貝	{EB42}
⿱⿰工工⿰工工	⿰{EB33}{EB33}
⿱⿰讠大贝	{EB54}
⿱⿱士冖手	{EB3A}
⿱⿱士冖王	{EB45}
⿱⿴𦥑\{23\}冖	{EB58}
⿱⿴𦥑同冖	{E8D5}
⿱⿸⿱𠂉丨一一	{EB1C}
⿱⿻丨𠮛仒	⿱{E13B}{E00D}
⿱⿻十吅冖	{E966}
⿱⿻土吅回	{EAB5}
⿱㇒⿷⿸⿻口丿乚丶	{E13E}
⿱㇒丹	{E13C}
⿱㇒𤴓	{EB56}
⿱八㇉	{EB86}
⿱八干	{EB76}
⿱白方	{E87C}
⿱勹又	{EA8B}
⿱貝貝	{EB04}
⿱备录	{EB09}
⿱匕禾	{E974}
⿱匕糸	{EB16}
⿱匕木	{EB40}
⿱匕水	{E973}
⿱艹⿱⿲止白巳⿱八夊	⿳艹{EB01}{E989}
⿱艹両	{EA95}
⿱艹𧛱	⿱葆衣
⿱叉目	{EB5F}
⿱叉土	{EB47}
⿱丞皿	{EB72}
⿱丑⿰丑丑	{EA93}
⿱丑山	{E855}
⿱次韭	{EB9D}
⿱从龰	{E8BF}
⿱大⿱廿⿻中二	{EB4E}
⿱大开	{EB25}
⿱大早	{EB35}
⿱眔魚	{EB43}
⿱耳\{11\}	{EABA}
⿱爾王	{EB34}
⿱二水	{EAA8}
⿱二𡭔	示
⿱古可	{EB1F}
⿱古㐄	{EB61}
⿱禾衣	{EB5B}
⿱彑𪪷	⿳彑粉廾
⿱夾足	{EB5C}
⿱夅貝	{EB41}
⿱夅夊	{EAF6}
⿱口矢	{EB1D}
⿱口𠕁	{E837}
⿱卝干	{E97E}
⿱厽⿱𠆢三	⿳厽𠆢三
⿱力\{11\}	{EB6B}
⿱畄𠮛	{EAB3}
⿱吂⿲月(.)凡	⿵{E834}$1
⿱米糸	{EAC1}
⿱米犬	{EB17}
⿱冖舛	{EB6C}
⿱宀⿱母贝	{EB55}
⿱灭又	{EAC9}
⿱目兆	{EABF}
⿱廿⿳一由八	⿳廿{E03B}八
⿱廿⿻𠮡人	{E104}
⿱品亏	{EA9E}
⿱日匂	{EAAD}
⿱日羽	{E9CC}
⿱日⺝	{EAB2}
⿱山並	{EAAF}
⿱山曷	{EB3F}
⿱山巾	{EAC8}
⿱山𠇍	{EB87}
⿱山𡕖	{EAE8}
⿱彡此	{EB15}
⿱彡否	{EB8F}
⿱彡冄	{EB8E}
⿱少馬	{EACC}
⿱申又	{EADC}
⿱升日	{EACA}
⿱十𭾱	{EAD0}
⿱士⿱冖	⿱{E032}
⿱士冖	{E032}
⿱士𠔼	{EB44}
⿱示口	{EB7A}
⿱水廾	{EB14}
⿱水水	{EA8C}
⿱水⺝	{EB7B}
⿱厶鼎	{EB8C}
⿱厶夲	{EAA9}
⿱厶一	{EB38}
⿱天井	{EB48}
⿱亠𭾱	{EADB}
⿱土寸	寺
⿱韋帀	{EB77}
⿱覀⿰臣卩	{EB83}
⿱穴王	{EB4B}
⿱乛耳	{E061}
⿱幺⺝	{E99D}
⿱业𧰨	{EB59}
⿱一⿻口龶	{E13F}
⿱一夫	{E13D}
⿱一亚	{EB0E}
⿱冘皿	{EAC7}
⿱尤旨	{E8EC}
⿱又韭	{EB97}
⿱爫夫	{EAAE}
⿱爫糸	{E8F2}
⿱爫𠙻	{EADD}
⿱正目	{EB7E}
⿱支只	{EB63}
⿱夂革	{EB13}
⿱夂貢	{EA9D}
⿱夂糸	{EAC2}
⿱夂魚	{EB1A}
⿱夂⺝	{E86C}
⿱止\{11\}	{EABD}
⿱止𠂤	{EAC6}
